序号,经度【百度】,纬度【百度】,是否精确,可信度,地址类型,坐标系,错误,0,0
1,113.3274652,23.32495978,,80,工业园区,bd09,,113.3154814287773,23.32167633553116
2,113.2914775,23.44901134,,40,道路,bd09,,113.27965795486685,23.445251482954397
3,104.2002767,30.54618771,1,80,道路,bd09,,104.19134742057244,30.542821949819036
4,117.420079,39.16042451,,50,UNKNOWN,bd09,,117.4068809952896,39.15355759608791
5,122.0035604,41.24826368,,12,区县,bd09,,121.99169829400294,41.240490754280295
6,120.3703965,31.55485024,,16,区县,bd09,,120.35931152593227,31.550288115419967
7,118.9575303,31.88545951,,80,道路,bd09,,118.9459671100672,31.88160917758997
8,120.5578671,28.08850821,,40,道路,bd09,,120.54730502466762,28.086195396950576
9,118.4879967,31.3917683,,30,道路,bd09,,118.47620254818472,31.387920621437672
10,117.118381,36.87449556,,80,UNKNOWN,bd09,,117.10580687450468,36.86758852433485
11,114.4607522,38.08363183,,25,道路,bd09,,114.44804517962167,38.07677007993727
12,113.8556489,34.09830598,,40,UNKNOWN,bd09,,113.84324602659119,34.09385642384081
13,118.5102117,24.85539191,,50,UNKNOWN,bd09,,118.49898509303078,24.852575742012682
14,120.5432468,31.4015094,,50,道路,bd09,,120.5323778845743,31.397944546572866
15,118.4735789,24.7750467,,30,道路,bd09,,118.46231818578518,24.77173058224347
16,102.8524484,24.87399815,,10,城市,bd09,,102.8446028487923,24.870794528668032
17,114.031832,30.67202057,,75,交叉路口,bd09,,114.01968681069314,30.66830053301174
18,112.9506064,22.87278509,,40,道路,bd09,,112.9390559866536,22.869622930210518
19,113.335106,28.26178851,,18,乡镇,bd09,,113.32271478870446,28.2593208307064
20,115.9621442,28.86706604,,18,乡镇,bd09,,115.95071884636717,28.864348752990956
21,120.1471719,30.51613125,,18,乡镇,bd09,,120.1359413692537,30.512215412161233
22,106.64953,29.75764638,,25,道路,bd09,,106.63923489175787,29.754573054435262
23,113.7457285,34.76004559,,40,道路,bd09,,113.73310209673909,34.754896820458406
24,119.8417907,29.21223849,,50,道路,bd09,,119.83060324396229,29.209328750946003
25,116.5946969,39.86902216,1,80,村庄,bd09,,116.58229023867374,39.86229567816618
26,113.9244399,30.67304043,,25,乡镇,bd09,,113.91244802874809,30.669796403192905
27,116.8927571,40.15953363,1,80,道路,bd09,,116.88042771420504,40.152140988008085
28,117.4122983,31.84916638,,60,生活服务,bd09,,117.39996356044219,31.845247111211297
29,117.3356452,32.97747925,,50,道路,bd09,,117.32342551864575,32.97325511610067
30,121.8505762,29.90465936,,16,区县,bd09,,121.83990766266527,29.90146794110469
31,113.9225101,30.93068923,,12,城市,bd09,,113.91051594055043,30.927279665350518
32,120.8300339,31.32165946,,40,工业园区,bd09,,120.81933061276543,31.317503581854872
33,118.5584305,24.78782458,,16,区县,bd09,,118.54750791124597,24.784472262140532
34,113.9336005,35.30963993,,12,城市,bd09,,113.92109433660585,35.3044854938295
35,116.6634154,39.91601712,,14,区县,bd09,,116.65111446569892,39.90869582515103
36,114.0511961,22.71050657,,25,乡镇,bd09,,114.03952442888179,22.70745737407966
37,103.5342402,31.04615309,1,80,地产小区,bd09,,103.52564171687965,31.042660673652712
38,115.5800637,38.87742791,,40,道路,bd09,,115.5677075022569,38.870539455112784
