序号,省份,市,经度【百度】,纬度【百度】
1,北京,北京,116.5511601,39.8242098
2,天津,天津,117.3390264,39.11809488
3,河北,石家庄,114.6346068,38.04401298
4,河北,保定,115.4847845,38.82187691
5,河北,唐山,118.1263068,39.63149354
6,河北,廊坊,116.6905817,39.54336666
7,山西,太原,112.5867454,37.79599207
8,山西,侯马,111.3732727,35.62443694
9,内蒙古,呼和浩特,111.5720759,40.80461158
10,内蒙古,包头,109.8338442,40.61412953
11,辽宁,沈阳,123.4266443,41.79523605
12,辽宁,锦州,121.15759,41.12069061
13,辽宁,大连,121.6385017,38.92567929
14,吉林,长春,125.3306039,43.9120338
15,黑龙江,哈尔滨,126.6386123,45.76343389
16,上海,上海,121.6762807,31.23731958
17,江苏,南京,118.8863504,32.10112435
18,江苏,常州,119.9725188,31.84505258
19,江苏,淮安,119.0835456,33.59921595
20,江苏,连云港,119.1694081,34.57745612
21,江苏,南通,120.9661934,31.98966622
22,江苏,苏州,120.623455,31.3418313
23,江苏,无锡,120.3089234,31.59427673
24,江苏,徐州,117.2487677,34.31048487
25,江苏,盐城,120.1865669,33.35803868
26,江苏,扬州,119.4066765,32.38698379
27,浙江,杭州,120.4034931,30.18478237
28,浙江,湖州,120.0942097,30.88171095
29,浙江,嘉兴,120.7498574,30.79192881
30,浙江,金华,119.6422961,29.11531902
31,浙江,宁波,121.5708637,29.82691498
32,浙江,台州,121.2128347,28.89427504
33,浙江,温州,120.6959298,27.98659279
34,浙江,义乌,119.639706,29.11547273
35,安徽,合肥,117.3211376,31.89085546
36,安徽,安庆,117.0714439,30.55041877
37,安徽,蚌埠,117.4014639,32.92024565
38,安徽,芜湖,118.3985616,31.37321258
39,江西,南昌,115.9175219,28.59019505
40,江西,鹰潭,117.0344595,28.24273181
41,江西,赣州,114.9708599,25.82359914
42,福建,福州,119.3345794,26.0872139
43,福建,泉州,118.5584305,24.78782458
44,福建,厦门,118.0562243,24.63843557
45,山东,济南,116.9444599,36.68540115
46,山东,济宁,116.6320906,35.43037112
47,山东,临沂,118.1962408,35.13073014
48,山东,青岛,120.437242,36.11528045
49,山东,潍坊,119.0867918,36.7314493
50,山东,烟台,121.3874955,37.55838406
51,河南,郑州,113.8151323,34.74950694
52,河南,洛阳,112.445411,34.69128835
53,河南,漯河,113.9330919,33.84029936
54,河南,信阳,114.0614391,32.12083632
55,湖北,武汉,114.2254358,30.64477946
56,湖北,荆州,112.2615774,30.3165719
57,湖北,襄阳,112.1407309,32.07725492
58,湖南,长沙,113.0977593,28.25104971
59,湖南,常德,111.6981852,29.07534298
60,湖南,衡阳,112.4715323,26.87013674
61,广东,广州,113.2349823,23.33664458
62,广东,东莞,113.97328,22.9629358
63,广东,汕头,116.7212952,23.37504074
64,广东,深圳,113.95673,22.54083392
65,广东,湛江,110.3944477,21.19747591
66,广东,中山,113.4581765,22.70219006
67,广西,南宁,108.304567,22.88284101
68,广西,柳州,109.3970578,24.28790351
69,海南,海口,110.3004812,20.02644471
70,重庆,重庆,106.5367527,29.61264431
71,四川,成都,104.0198251,30.58318092
72,四川,南充,106.0758039,30.80903044
73,四川,内江,105.0615498,29.58154692
74,贵州,贵阳,106.7068145,26.50552038
75,云南,昆明,102.783942,25.00381895
76,云南,大理,100.2541605,25.59537559
77,西藏,拉萨,91.070099,29.650178
78,陕西,西安,108.9445659,34.31364117
79,陕西,宝鸡,107.1798992,34.36352061
80,甘肃,兰州,103.8314749,36.06318148
81,青海,西宁,101.809569,36.60570765
82,宁夏,银川,106.287869,38.48553378
83,新疆,乌鲁木齐,87.43450671,43.88265302
84,新疆,阿克苏,80.29907138,41.17778308
85,新疆,喀什,75.9931011,39.47365276
