序号,省份,市,经度【百度】,纬度【百度】,0,0
1,北京,北京,116.5511601,39.8242098,116.5388675,39.81702475
2,天津,天津,117.3390264,39.11809488,117.3261124,39.11096477
3,河北,石家庄,114.6346068,38.04401298,114.6223274,38.03747918
4,河北,保定,115.4847845,38.82187691,115.4719682,38.8151888
5,河北,唐山,118.1263068,39.63149354,118.1132966,39.62425937
6,河北,廊坊,116.6905817,39.54336666,116.6780829,39.53649961
7,山西,太原,112.5867454,37.79599207,112.5740734,37.78933825
8,山西,侯马,111.3732727,35.62443694,111.360538,35.61819372
9,内蒙古,呼和浩特,111.5720759,40.80461158,111.5588853,40.7974424
10,内蒙古,包头,109.8338442,40.61412953,109.8216201,40.60693863
11,辽宁,沈阳,123.4266443,41.79523605,123.4138553,41.78716049
12,辽宁,锦州,121.15759,41.12069061,121.145396,41.11296831
13,辽宁,大连,121.6385017,38.92567929,121.6269286,38.91917074
14,吉林,长春,125.3306039,43.9120338,125.3175059,43.90388915
15,黑龙江,哈尔滨,126.6386123,45.76343389,126.6261322,45.75553367
16,上海,上海,121.6762807,31.23731958,121.6655559,31.23311481
17,江苏,南京,118.8863504,32.10112435,118.8747612,32.09752162
18,江苏,常州,119.9725188,31.84505258,119.9612471,31.84118996
19,江苏,淮安,119.0835456,33.59921595,119.071399,33.59461737
20,江苏,连云港,119.1694081,34.57745612,119.1573542,34.57206035
21,江苏,南通,120.9661934,31.98966622,120.9554844,31.98540278
22,江苏,苏州,120.623455,31.3418313,120.6128224,31.33776565
23,江苏,无锡,120.3089234,31.59427673,120.297706,31.59052557
24,江苏,徐州,117.2487677,34.31048487,117.2366619,34.30541111
25,江苏,盐城,120.1865669,33.35803868,120.1750818,33.35386788
26,江苏,扬州,119.4066765,32.38698379,119.3948043,32.38250805
27,浙江,杭州,120.4034931,30.18478237,120.3923739,30.18118402
28,浙江,湖州,120.0942097,30.88171095,120.0828109,30.87780377
29,浙江,嘉兴,120.7498574,30.79192881,120.7390721,30.7880862
30,浙江,金华,119.6422961,29.11531902,119.6311962,29.11194108
31,浙江,宁波,121.5708637,29.82691498,121.5603294,29.82317226
32,浙江,台州,121.2128347,28.89427504,121.2021676,28.8908731
33,浙江,温州,120.6959298,27.98659279,120.685371,27.98389674
34,浙江,义乌,119.639706,29.11547273,119.6286053,29.11211208
35,安徽,合肥,117.3211376,31.89085546,117.3089952,31.88706543
